scheduled,movie,OV,HFR,3D,begin,number visitors,filled %
12-12-2013 14:00,Hobbit 2,,,,12-12-2013 14:00,26,10.92
12-12-2013 19:00,Hobbit 2,,,,12-12-2013 19:00,88,36.97
12-12-2013 23:20,Carrie,,,,12-12-2013 23:20,21,8.82
13-12-2013 14:00,Hobbit 2,,,,13-12-2013 14:00,6,2.52
13-12-2013 19:00,Hobbit 2,,,,13-12-2013 19:00,162,68.07
13-12-2013 23:20,Carrie,,,,13-12-2013 23:20,40,16.81
14-12-2013 11:10,Wolkig 2,,,3D,14-12-2013 11:10,7,2.94
14-12-2013 14:00,Hobbit 2,,,,14-12-2013 14:00,88,36.97
14-12-2013 19:00,Hobbit 2,,,,14-12-2013 19:00,207,86.97
14-12-2013 23:20,Carrie,,,,14-12-2013 23:20,84,35.29
15-12-2013 11:10,Wolkig 2,,,3D,15-12-2013 11:10,4,1.68
15-12-2013 14:00,Hobbit 2,,,,15-12-2013 14:00,216,90.76
15-12-2013 19:00,Hobbit 2,,,,15-12-2013 19:00,213,89.5
15-12-2013 23:20,Carrie,,,,15-12-2013 23:20,16,6.72
16-12-2013 14:00,Hobbit 2,,,,16-12-2013 14:00,28,11.76
16-12-2013 19:00,Hobbit 2,,,,16-12-2013 19:00,171,71.85
16-12-2013 23:20,Carrie,,,,16-12-2013 23:20,4,1.68
17-12-2013 14:00,Hobbit 2,,,,17-12-2013 14:00,55,23.11
17-12-2013 19:00,Hobbit 2,,,,17-12-2013 19:00,201,84.45
17-12-2013 23:20,Carrie,,,,17-12-2013 23:20,6,2.52
18-12-2013 14:00,Hobbit 2,,,,18-12-2013 14:00,31,13.03
18-12-2013 19:00,Hobbit 2,,,,18-12-2013 19:00,156,65.55
18-12-2013 23:20,Carrie,,,,18-12-2013 23:20,8,3.36
19-12-2013 10:30,Suck Me Shakespeer,,,,19-12-2013 10:30,113,47.48
19-12-2013 14:10,Dinosaurier,,,,19-12-2013 14:10,11,4.62
19-12-2013 20:00,Walter Mitty,,,,19-12-2013 20:00,45,18.91
19-12-2013 22:40,Counselor,,,,19-12-2013 22:40,29,12.18
20-12-2013 14:10,Dinosaurier,,,,20-12-2013 14:10,8,3.36
20-12-2013 16:55,Belle & Sebastian,,,,20-12-2013 16:55,8,3.36
20-12-2013 19:40,Dinosaurier,,,3D,20-12-2013 19:40,7,2.94
20-12-2013 22:20,Counselor,,,,20-12-2013 22:20,50,21.01
21-12-2013 11:10,Suck Me Shakespeer,,,,21-12-2013 11:10,11,4.62
21-12-2013 14:10,Dinosaurier,,,,21-12-2013 14:10,19,7.98
21-12-2013 16:55,Belle & Sebastian,,,,21-12-2013 16:55,34,14.29
21-12-2013 19:40,Dinosaurier,,,3D,21-12-2013 19:40,9,3.78
21-12-2013 22:20,Counselor,,,,21-12-2013 22:20,90,37.82
22-12-2013 11:10,Suck Me Shakespeer,,,,22-12-2013 11:10,21,8.82
22-12-2013 14:10,Dinosaurier,,,,22-12-2013 14:10,59,24.79
22-12-2013 17:00,Bolshoi: Dornröschen,,,,22-12-2013 17:00,159,66.81
22-12-2013 20:10,Hobbit 2,OV,HFR,3D,22-12-2013 20:10,139,58.4
23-12-2013 11:10,Suck Me Shakespeer,,,,23-12-2013 11:10,26,10.92
23-12-2013 14:10,Dinosaurier,,,,23-12-2013 14:10,36,15.13
23-12-2013 16:55,Belle & Sebastian,,,,23-12-2013 16:55,14,5.88
23-12-2013 19:35,Machete Kills,,,,23-12-2013 19:35,44,18.49
23-12-2013 22:30,Machete Kills,,,,23-12-2013 22:30,68,28.57
24-12-2013 11:10,Suck Me Shakespeer,,,,24-12-2013 11:10,17,7.14
24-12-2013 14:10,Dinosaurier,,,,24-12-2013 14:10,17,7.14
25-12-2013 12:10,Buddy,,,,25-12-2013 12:10,5,2.1
25-12-2013 14:50,Buddy,,,,25-12-2013 14:50,54,22.69
25-12-2013 17:35,Buddy,,,,25-12-2013 17:35,80,33.61
25-12-2013 20:20,Buddy,,,,25-12-2013 20:20,103,43.28
25-12-2013 23:10,Buddy,,,,25-12-2013 23:10,28,11.76
26-12-2013 13:15,The Hunger Games: Catching Fire,,,,26-12-2013 13:15,87,36.55
26-12-2013 16:50,Dinosaurier,,,3D,26-12-2013 16:50,44,18.49
26-12-2013 19:30,Buddy,,,,26-12-2013 19:30,115,48.32
26-12-2013 22:25,Buddy,,,,26-12-2013 22:25,29,12.18
27-12-2013 10:45,Journey to the Christmas Star,,,,27-12-2013 10:45,8,3.36
27-12-2013 13:15,The Hunger Games: Catching Fire,,,,27-12-2013 13:15,96,40.34
27-12-2013 16:50,Dinosaurier,,,3D,27-12-2013 16:50,44,18.49
27-12-2013 19:30,Buddy,,,,27-12-2013 19:30,124,52.1
27-12-2013 22:25,Buddy,,,,27-12-2013 22:25,53,22.27
